id,name,plate_number,policy_id,policy_number,required_covered,issue_date,period_from,period_to,pms_date,odometer,type_battery,install_date_battery,type_tire,install_date_tire,pms_last_date,image_url,engine_number,chassis_number,file_number,period_duration,period_duration_to,operational,acquisition_date,acquisition_cost,year_model,last_digit
19,Isuzu Crosswind,SKX913,1000876612,MV-PC-GSISHO-0239854,Comprehensive and TPL,2026-02-12,2026-04-01,2027-04-01,,,2SMF Excel Battery,2023-03-13,235/70R15,2023-07-17,,,4JA1M36230,PABTBR54FC2068718,132400000771357`,2026-03-01,2026-03-07,true,,0,2012,3
22,Isuzu Crosswind,SKX912,1000827262,MV-PC-GSISHO-0220843,Comprehensive & TPL,2025-01-23,2025-03-01,2026-03-01,2026-02-26,,2SMF Excel Battery,2025-10-10,,,,,4JA1M35515,PABTBR54C2068149,132400000771356,2027-02-01,2027-02-07,true,,0,2012,2
23,Mitsubishi Strada,SJT142,1000585165,MV-PC-GSISHO-0141125,Comprehensive & TPL,2018-01-12,2018-03-01,2019-03-01,2026-03-25,,3SMF Battery Excel,2023-07-17,,,,https://yelvewyjonvcyucwjcti.supabase.co/storage/v1/object/public/NEAMotorpoolBucket/vehicle-images/gb7hhgp3dpq_1773213699974.jpg,4D56UCBU9884,MMBJNKD40AD014449,138400000265165,2026-02-08,2026-02-14,false,,0,2010,2
24,Honda City,SJH-182,1000874630,MV-PC-GSISHO-0238806,Comprehensive & TPL,2026-01-30,2026-03-01,2027-03-01,2026-02-04,,NS60 Excel Battery,2024-10-07,195/60R15,2023-02-10,,,L15A71401926,BADCM26509V001880,136600000134476,2027-02-15,2027-02-21,true,2026-04-08,1000000,2009,2
37,Isuzu DMax,SND-1241,1000869658,MV-PC-GSISHO-0237200,Comprehensive and TPL,2025-12-26,2026-02-01,2027-02-01,2026-03-05,,D1N66H Excel Battery,2025-02-20,,,2026-01-24,https://yelvewyjonvcyucwjcti.supabase.co/storage/v1/object/public/NEAMotorpoolBucket/vehicle-images/mfdhykv5vy_1773887102936.png,4JJ3EBY565,MPATFS40JPT012152,130123000386780,2027-01-08,2027-01-14,true,2023-09-06,1288000,2023,1
38,Hino Mini Bus,SDA-2331,100865087,MV-CV-GSISMO-0053058,Comprehensive and TPL,2025-11-13,2026-01-09,2027-02-01,2026-03-05,,6SM GOLD Battery,2025-09-30,215/75 R17.5,2024-12-26,2026-01-14,,N04CWK23018,PA4ZCP2FR6001091,040125003602724,2028-01-01,2028-01-07,true,2024-12-26,4280000,2024,1
39,Isuzu Crosswind,SKX-911,1000818655,MV-PC-GSISHO-021934488,Comprehensive and TPL,2024-11-04,2025-02-01,2026-02-01,2026-04-08,,2SMF Excel Battery,2025-10-06,,,,,4JA1M36305,PABTBR54FC2068843,132400000771615,2025-01-01,2025-01-07,false,,0,2012,1
40,Toyota Corolla,SNG-1031,1000861741,MV-PC-GSISHO-0234596,Comprehensive and TPL,2025-10-13,2025-11-21,2027-02-01,2025-11-28,,,,,,2025-11-28,,2ZRZ188440,MR2KZAAG1R0094251,130124003334911,2028-01-01,2028-01-07,true,,0,2025,1
41,Honda City,SJH-181,1000818654,MV-PC-GSISHO-02193443,Comprehensive & TPL,2024-11-04,2025-02-01,2025-02-01,2025-10-20,,NS60 Excel Battery,2025-10-13,,,2025-10-20,,L15A71401963PADGM,26509V001974,136600000134478,2026-01-13,2026-01-21,false,,0,2009,1
42,Toyota Corolla Cross Hybrid,SNG-1032,1000861736,MV-PC-GSISHO-0234595,Comprehensive & TPL,2025-10-13,2025-11-21,2027-03-01,2026-03-25,,,,4treger,2023-03-15,2025-08-09,,2ZRZ200947,MR2KZAAG9R0096958,130124003347964,2028-02-01,2028-02-07,true,,0,2025,2
43,Honda City,SJH-183,1000789539,MV-PC-GSISHO-0207396,Comprehensive & TPL,2025-01-31,2026-03-15,2026-03-21,2025-11-28,,NS60 Motolite Excel Battery,2021-04-14,195X60R15,2023-07-17,2025-11-28,https://yelvewyjonvcyucwjcti.supabase.co/storage/v1/object/public/NEAMotorpoolBucket/vehicle-images/4sfgxd8h13h_1772688741512.jpg,L15A71401965,PABGM26509V001970,136600000134475,2026-03-15,2026-03-21,false,2009-08-12,843040.5,2009,3
44,Toyota Innova,SNH-1433,1000855991,MV-PC-GSISHO-0232148,Comprehensive & TPL,2025-08-27,2025-09-02,2026-09-02,2026-02-20,,DIN66 Battery Gold,2025-08-22,205/65R16,2025-07-11,2026-02-20,,1GD1441909,PA2JA8EM4P0130109,132400000886449,2026-11-01,2027-01-31,true,,0,2023,3
45,Toyota Coaster,ABS-8543,100076609,MV-PC-GSISHO-0053906,Comprehensive & TPL,2026-02-12,2026-04-01,2027-04-01,2026-02-20,,3SMF Excel Battery,2025-10-15,,,2026-02-20,,N04CVL10231,JTGF518907000128,130100000484592,2026-03-08,2026-03-14,true,,0,2016,3
46,Isuzu Sportivo,SLD-623,1000876611,MV-PC-GSISHO-0239858,Comprehensive & TPL,2026-02-12,2026-04-01,2027-04-01,2025-10-02,,2SMF Battery Excel,2025-10-06,235/70R15,2023-05-25,2025-10-02,https://yelvewyjonvcyucwjcti.supabase.co/storage/v1/object/public/NEAMotorpoolBucket/vehicle-images/fam99hoh2e_1773818708654.jpg,4JA1M42543,PABTBR54FD2075082,312400000785189,2026-03-01,2026-03-07,true,2026-04-08,100000,2013,3
47,Toyota Commuter,SNH-1434,1000872119,MV-PC-GSISHO-0237668,Comprehensive & TPL,2026-01-16,2026-01-16,2027-05-01,2025-03-11,,D1N66H Gold Battery,2025-01-08,215/70R16,2025-05-16,2025-03-11,,1GD9228032,JTFNAFAP8P8037012,1324-00000886448,2026-11-01,2027-01-31,true,,0,2024,4
48,Isuzu Crosswind,SKX-914,1000831177,MV-PC-GSISHO-0222515,Comprehensive & TPL,2025-02-19,2025-05-01,2026-05-01,2023-09-11,,2SMF Battery Excel,2023-03-13,235/70R15,2023-07-04,2023-09-11,,4JA1M36245,PABTBR54FC2068716,1324-00000771359,2026-04-01,2026-04-07,false,,0,2012,4
49,Mitsubishi Montero,SNH-1394,1000882119,MV-PC-GSISHO-0242386,Comprehensive & TPL,2026-03-23,2026-05-01,2027-05-01,2026-02-23,,DIN55 Battery,2024-01-13,265/60R18,2025-05-20,2026-02-23,,4N15UKJ6513,MMBGUKS10PH015865,1324-00000885923,2026-11-01,2027-01-31,true,2023-12-22,2477000,2023,4
50,Toyota Hilux,SNA-2595,1000818653,MV-PC-GSISHO-0219341,Comprehensive & TPL,2024-11-04,2025-02-01,2026-06-01,2026-02-12,,Remote Battery (CR2032),2025-06-01,245/70R16,2025-04-04,2026-02-12,,1GD5126562,MR0BA8CD8M0238141,1301-00001796557,2026-03-01,2026-05-31,true,,0,2022,5
51,Isuzu MuX Black,SNJ-4106,1000869650,MV-PC-GSISHO-0237205,TPL,2025-12-26,2026-02-10,2027-07-01,2025-07-04,,3SMF Battery Excel,2025-10-16,245/70R16,2025-04-04,2025-07-04,,RZEUX4142,MPAUCR87GLT000356,131200000442595,2026-03-22,2026-03-31,true,,0,2021,6
52,Nissan Urvan Black,SNN-2346,1000827402,MV-PC-GSISHO-0220399,Comprehensive & TPL,2025-01-24,2025-01-24,2026-01-24,2025-09-29,,,,,,2025-09-29,,YD25130640B,JN1TC2E26ZO111780,130125003935546,2028-06-08,2028-06-14,true,,0,2025,6
53,Toyota Grandia,SNA-2576,1000842464,MV-PC-GSISHO-0227022,Comprehensive,2025-05-15,2025-07-01,2026-07-01,2026-02-18,,DIN66H Battery,2025-10-16,235/65R16,2025-09-05,2026-02-18,,1GD8833954,JTFPA9AP7MM8023088,130100001775016,2026-04-01,2026-06-21,true,,0,2022,6
54,Isuzu DMax,SNJ-4107,1000869656,MV-PC-GSISHO-023737204,TPL,2025-12-26,2026-02-10,2026-08-01,2025-09-09,,3SMF Excel Battery,2025-12-22,265/60R18,2023-07-17,2025-09-09,,4JJ1UM5614,MPATFS85HJT014063,131200000442596,2026-03-22,2026-03-31,true,,0,2020,7
55,Toyota Grandia,SNA-2477,,,,,,,2026-02-23,,DIN66H Battery,2025-10-01,235/66R16,2025-09-05,2026-02-23,,,,,,,true,,0,,7
56,Isuzu DMax 4x4 MT,SND-1339,1000812181,MV-PC-GSISHO-0215530,Comprehensive & TPL,2024-09-04,2024-09-05,2025-10-01,2025-11-12,,D1N66H Excel Battery,2025-02-20,HDSAI,2026-03-16,2025-11-12,https://yelvewyjonvcyucwjcti.supabase.co/storage/v1/object/public/NEAMotorpoolBucket/vehicle-images/zjfoph6ddic_1773887158300.png,4JJ3EBY559,MPATFS40JPT012147,130123000358826,2026-09-15,2026-09-21,true,,0,2023,9
57,Toyota Innova Zenix,SNG1112,1000852870,MV-PC-GSISHO-0230628,Comprehensive & TPL,2025-08-01,2025-08-01,2026-08-01,2025-09-19,,,,,,2025-09-19,,M20AND91350`,MHFABBAA9S0448262,130125005484308,2029-02-01,2029-02-07,true,,0,2025,2
58,Toyota Innova Zenix,SNG1109,1000852870,MV-PC-GSISHO-0230628,Comprehensive & TPL,2025-08-01,2025-08-01,2026-08-01,2026-03-31,,2434fsdf,2026-03-16,hallo,2026-03-18,2025-09-12,https://yelvewyjonvcyucwjcti.supabase.co/storage/v1/object/public/NEAMotorpoolBucket/vehicle-images/084ycqmasf24_1773887957265.png,M20AND93130C,MHFABBAA7S0448454,130125005484298,2028-09-22,2028-09-30,true,,0,2025,9
59,Toyota Innova Zenix,SNG1107,1000852870,MV-PC-GSISHO-0230628,Comprehensive & TPL,2025-08-01,2025-08-01,2026-08-01,2025-09-12,,,,,,2025-09-12,,M20AND92517,MHFABBAA6S0448350,130125005484291,2028-07-22,2028-07-31,true,,0,2025,7
60,Toyota Innova Zenix,NFX-2929,1000852870,MV-PC-GSISHO-0230628,Comprehensive & TPL,2025-08-01,2025-08-01,2026-08-01,2026-04-13,,,,,,2026-01-12,https://yelvewyjonvcyucwjcti.supabase.co/storage/v1/object/public/NEAMotorpoolBucket/vehicle-images/p6099kj8bre_1773887861445.png,M20ANE00965,MHFABBAA5S0449277,130125005484296,2028-08-22,2028-08-31,true,2025-08-01,1949890,2025,9
61,Toyota Innova Zenix,IG080B,,,,,,,2026-03-05,,,,dfsfs,2026-03-16,2025-09-05,,,,,,,true,,0,,10
63,Isuzu Sportivo,SLD-624,1000882119,MV-PC-GSISHO-0242386,Comprehensive & TPL,2026-03-23,2026-05-01,2027-05-01,2025-04-21,,2SMF Excel Battery,2025-10-06,235/70R15,2023-07-11,,,4JA1M42535,PABTBR54FD2075084,132400000785190,2026-04-07,2027-04-07,true,2013-09-17,1170000,2013,4
64,Isuzu Sportivo,SNA2577,1000842469,MV-PC-GSISHO-0227024,Comprehensive & TPL,2025-05-15,2025-08-01,2026-08-01,2026-04-08,,,,NDSJK,2026-03-16,,,1GD8838796,JTFEA9AP5N8023204,130100001775017,2026-05-01,2026-07-21,true,,0,2022,7
65,Toyota Innova Zenix,SNG1108,1000852870,MV-PC-GSISHO-0230628,Comprehensive & TPL,2025-08-01,2025-08-01,2026-08-01,2026-04-08,,,,,,,,M20ANE00965,MHFABBAA560449277,1301250054842986,2028-08-22,2028-08-31,true,,0,2025,8
66,Toyota Innova Zenix,SNG1110,1000852870,MV-PC-GSISHO-0230628,Comprehensive & TPL,2025-08-01,2025-08-01,2026-08-01,2025-09-05,,,,,,,,M20AND91251,MHFABBAA4S0448363,130125005484305,2028-10-01,2028-10-07,true,,0,2025,10
